TAZ,allprice10,allprice20np,allprice30np,allprice40np,units10,units20,units30,units40
1,330906,413633,517041,487651,506,506,506,506
2,313490,391863,452819,452819,848,913,921,921
3,505067,631334,679229,696645,1306,1346,1346,1346
4,296074,370092,452819,470235,1096,1096,1096,1096
5,400571,470235,522484,522484,3702,3702,3694,3694
6,609564,748893,783726,801142,4403,4403,4403,4403
7,592148,740185,835974,870806,20559,20559,20559,20559
8,522484,653105,766309,801142,26643,26653,26676,26676
9,574732,714061,766309,818558,19732,19734,19767,19767
10,556553,607599,659872,711575,7396,7580,7612,7619
11,556817,661034,748066,782846,14661,14744,14747,14761
12,609564,548608,505067,522484,2582,2582,2582,5826
13,400571,500713,505067,487651,18,18,18,28
14,539900,557316,609564,592148,601,713,709,767
15,957887,1166880,1114632,1079800,2583,2583,2583,2583
16,748893,731477,818558,818558,10481,10483,10497,10497
17,661756,714005,783665,818495,18532,18579,18587,18593
18,694407,729752,747281,782083,3549,3540,3594,3594
19,416030,468158,502974,537850,1495,1544,1544,1544
20,538407,625290,660092,729571,4246,4342,4408,4418
21,503268,538009,590118,624553,5787,5859,5873,5878
22,801142,870806,992719,1062384,14719,15214,15682,15682
23,522484,574732,626980,679229,1322,1346,1706,1706
24,383023,478778,598473,626790,4356,4392,4392,4392
25,470159,587698,734623,766184,3188,3208,3208,3208
26,452470,565587,661010,678391,1496,1497,1497,1497
27,679084,835801,853212,853212,3616,3616,3632,3634
28,853390,905638,905638,905638,2627,2627,2627,2640
29,696645,766309,801142,818558,5119,5127,5144,5144
30,592009,740011,783537,818360,10490,10498,10498,10502
31,609564,761955,783726,801142,7193,7193,7193,7199
32,766309,870806,888222,905638,7460,7520,7520,7521
33,835503,870731,888138,905554,3661,3733,3737,3738
34,1027468,1044888,1044888,1044892,4597,4598,4614,4616
35,923055,975303,975303,992719,2995,3029,3040,3046
36,644077,805096,835574,852975,5444,5480,5484,5484
37,644396,748893,748893,766309,3782,3818,3818,3820
38,1026984,1061811,1061812,1096630,4175,4202,4214,4222
39,1097216,1149464,1149464,1149464,2178,2182,2212,2212
40,1166526,1166579,1149183,1131797,3435,3446,3462,3493
41,1096722,1114315,1131859,1165375,4937,5017,5055,5208
42,0,0,0,0,0,1022,1030,1030
43,1184297,1149464,1132048,1132048,6455,6455,6455,6455
44,1096783,1096783,1079367,1079368,4506,4516,4516,4516
45,1201509,1236332,1218916,1201511,3250,3252,3275,3278
46,1217697,1217873,1217873,1217876,6019,6030,6049,6059
47,1096551,1113987,1096589,1096597,1887,1913,1919,1919
48,1305929,1305936,1288527,1271118,2608,2608,2608,2608
49,1428122,1410203,1392498,1375103,2699,2699,2700,2711
50,1201390,1166569,1149165,1131761,3022,3023,3024,3024
51,1166880,1114632,1097216,1097216,2309,2309,2310,2312
52,1724197,2155246,2694058,2856245,8856,8856,8856,8856
53,0,0,0,0,0,0,0,0
